Latitude,Longitude,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12,NDVI,EVI,SAVI,GNDVI,LAI,NDWI,MNDWI,NDMI,NDBI,ISA,BU,NDISI,NDBaI,BSI,DBSI,LSE,Albedo,SWIR1_NIR,SWIR2_NIR,red,green,blue,nir08,lwir11,NDVI_Landsat,emissivity,LST,elevation,UHI_Class,label,building_density_100m,bldg_count_100m,bldg_mean_height,bldg_max_height,bldg_total_area,bldg_total_volume,bldg_height_std,bldg_height_range,bldg_height_max_ratio,sky_view_proxy,volume_density,mean_bldg_volume,building_coverage_ratio,open_space_ratio,compactness
-33.58697979,-70.58050833,1868.0,2077.5,2293.5,2551.0,2744.0,3029.5,3142.5,3161.0,3190.5,3255.0,3113.0,0.1067927170868347,0.1183477872844033,0.1601750547045951,0.1590429920249335,0.7310365011237024,-0.1590429920249335,-0.1732900783995674,-0.0146508728179551,0.0146508728179551,-0.7587213482499784,-0.0921418442688796,0.0780227968978555,0.0222989949748743,0.05138304133279,0.0664973613127327,0.986386115448358,0.2733083999999999,1.0297374248655162,0.9848149319835184,0.14397,0.1201825,0.0905374999999999,0.21339375,39.79020227000001,0.1942663462648353,0.97,42.06537385248606,675.616943359375,Low,Chile,0.003275,131.0,6.469330276335879,39.320484,24917.753346109454,240573.66846323057,3.9036778823189158,35.390148,6.077983704716722,0.004697690320493958,6.014341711580764,1836.4402172765692,0.6229438336527363,0.3770561663472637,0.021187056655000005
-33.59209917,-70.57948,1812.0,1873.5,2174.5,2424.5,2686.5,3112.5,3309.0,3244.0,3407.0,3285.5,3092.5,0.1445708741289582,0.1491111555887115,0.2168371846886576,0.1973793485281904,0.7983016212669732,-0.1973793485281904,-0.2034798534798534,-0.0063557699670725,0.0063557699670725,-0.9157767005933226,-0.1382151041618857,0.0911355270805081,0.0302602696770147,0.0547217732625259,0.0589089793508952,0.986136550577548,0.2676090499999999,1.0127928483353572,0.9532983970406612,0.1347575,0.11700625,0.0884475,0.22156125,39.313388480000015,0.2436126361579343,0.9860845360903396,40.35284059100297,682.5520629882812,Low,Chile,0.002525,101.0,5.883562865346537,13.819451,15460.608860551032,96650.98168625288,1.5358065398831542,10.367665,2.3488235472752184,0.006686281437138912,2.416274542156322,956.940412735177,0.3865152215137758,0.6134847784862242,0.014855996235000005
-33.59741944,-70.57836597,1869.0,2011.0,2264.0,2484.0,2721.5,2864.0,2975.0,3000.0,3029.5,3118.0,3019.5,0.0940919037199124,0.10061225285653,0.1411249886042483,0.1398176291793313,0.7097199790211123,-0.1398176291793313,-0.1586770717205499,-0.0192873488067996,0.0192873488067996,-0.6597728706624605,-0.0748045549131128,0.0761310362679398,0.0160488798370672,0.0556864223122585,0.0645851680006375,0.9864985122158966,0.262227,1.0393333333332986,1.0064999999999664,0.13339625,0.1113137499999999,0.08765,0.19593125,43.373996240000025,0.1898869666213723,0.97,45.701770587725946,683.3760375976562,Medium,Chile,0.00085,34.0,11.566266700000002,30.33866,8939.202841924027,181095.80329137598,7.7335900041103995,26.5911696,2.623029607297573,0.010069148168325359,4.527395082284399,5326.347155628705,0.22348007104810066,0.7765199289518994,0.009831326695000002
-33.59710917,-70.56666139,2385.5,2795.0,3039.5,3269.0,3393.5,3479.0,3530.0,3479.0,3490.5,4429.5,4560.5,0.0311203319502074,0.0432793372078644,0.046677039342076,0.0674234869985426,0.6128662569721997,-0.0674234869985426,-0.1861025572365778,-0.120187140418537,0.120187140418537,0.588647785029869,0.0890668084683295,0.1017286407163288,-0.014571746384872,0.1019502594381821,0.1549822252863703,0.9872675707680272,0.34045205,1.2732106927277589,1.3108651911468436,0.192645,0.16975125,0.1310175,0.23993125,37.97523365000004,0.1093130979798359,0.97,40.22399618030812,696.9663696289062,Low,Chile,0.012575,503.0,5.597541967196819,19.974672,38946.268483718486,251002.1665633469,1.7170407244983574,16.519540000000003,3.5684720395232827,0.001418659251567419,6.275054164083673,499.01027149770755,0.9736567120929621,0.026343287907037882,0.0703890902375
-33.59707875,-70.56629625,2385.5,2795.0,3039.5,3269.0,3393.5,3479.0,3530.0,3479.0,3490.5,4429.5,4560.5,0.0311203319502074,0.0432793372078644,0.046677039342076,0.0674234869985426,0.6128662569721997,-0.0674234869985426,-0.1861025572365778,-0.120187140418537,0.120187140418537,0.588647785029869,0.0890668084683295,0.1017286407163288,-0.014571746384872,0.1019502594381821,0.1549822252863703,0.9872675707680272,0.34045205,1.2732106927277589,1.3108651911468436,0.192645,0.16975125,0.1310175,0.23993125,37.97523365000004,0.1093130979798359,0.97,40.22399618030812,697.1163330078125,Medium,Chile,0.0135,540.0,5.521138374814814,19.974672,40921.00895123963,258594.5994503279,1.6579546265140561,16.519540000000003,3.6178538996806027,0.0013398473485065306,6.464864986258197,478.87888787097756,1.0,0.0,0.07453536806
-33.5913786,-70.54158267,1725.0,1878.5,2144.5,2403.0,2703.0,3078.5,3303.5,3374.0,3436.5,3328.5,2895.5,0.168080318504414,0.177147756918979,0.2520986585893552,0.2227960496511733,0.8432500244560388,-0.2227960496511733,-0.216334734149461,0.0067885117493472,-0.0067885117493472,-1.0841767711072403,-0.1748688302537613,0.1013317892298784,0.0695694087403599,0.0436088856518572,0.0482544156450469,0.9860452829363012,0.27130365,0.9865145228215476,0.8581802015411719,0.1245412499999999,0.10265125,0.0713975,0.22636,39.02627480000004,0.290163543162072,0.986361309534024,40.04296806853648,721.1743774414062,Medium,Chile,0.0024,96.0,8.801535148958335,22.7411,12639.674449033553,115396.3986136216,3.264133787138933,18.1487333,2.583765174498158,0.004711717264333613,2.88490996534054,1202.0458188918917,0.31599186122583883,0.6840081387741612,0.021123684357500002
-33.61193083,-70.56869021,2063.0,2109.5,2317.0,2537.0,2704.0,2954.5,3153.5,3194.5,3245.0,3334.0,3189.5,0.1147169152926808,0.1305055477263254,0.1720603628750872,0.1592125555656355,0.7446592814712533,-0.1592125555656355,-0.1799681472305786,-0.0213678486635521,0.0213678486635521,-0.6859626597078219,-0.0933490666291286,0.0815603795517829,0.0221506859814516,0.050738255033557,0.0652512319378978,0.9863232535349864,0.2767374499999999,1.043668805759867,0.9984348098293632,0.15608375,0.13468875,0.10270625,0.22064,41.22577067,0.1713623046064921,0.97,43.5219407597204,698.236328125,Low,Chile,0.00295,118.0,8.647800937288135,37.006523,28429.41894559809,410300.58866128,5.628496446874513,33.5458923,4.279298664291974,0.0039045703079989076,10.257514716532,3477.123632722712,0.7107354736399523,0.28926452636004774,0.025511012764999997
-33.6163775,-70.57549292,2110.0,2250.0,2496.0,2753.5,3047.0,3311.0,3418.0,3320.5,3419.5,3928.0,3834.0,0.0933486993743826,0.1093201712104268,0.1400115235821878,0.1417519126622539,0.7084920444683274,-0.1417519126622539,-0.2229140722291407,-0.0838104435400427,0.0838104435400427,-0.0538400427854134,-0.0095382558343398,0.1123014842957264,0.0121102808554496,0.0906790728044401,0.1295653728547581,0.986505533330006,0.29894295,1.182954374341178,1.1546453847311804,0.1617762499999999,0.13823625,0.1065287499999999,0.2268,40.475515280000025,0.167338456737899,0.97,42.76069902985756,692.3250732421875,Low,Chile,0.0075,300.0,5.176898764333334,23.909182,27262.729713293367,170330.99135863682,2.346614218097669,20.896157000000002,4.618437232098155,0.002568928148574993,4.258274783965921,567.769971195456,0.6815682428323342,0.3184317571676658,0.038826740732500004
-33.61853858,-70.59034575,2159.5,2536.5,2768.0,3013.0,3165.0,3296.5,3348.0,3330.0,3383.5,3987.5,4037.0,0.0499763518839665,0.063992571209399,0.0749586190588791,0.0921613643817645,0.6403924942970574,-0.0921613643817645,-0.1805195766412552,-0.0898530919029723,0.0898530919029723,0.2851812818462383,0.0398767400190057,0.0941644562334217,-0.006168608636052,0.0881324318022849,0.1305432247572887,0.9870003153330684,0.3148375499999999,1.1974474474474115,1.212312312312276,0.16762,0.1452625,0.1126475,0.2285875,39.95084921,0.1538777029712966,0.97,42.22836579756927,676.3328857421875,Low,Chile,0.0074,296.0,8.123369473648648,19.474796,34138.74401959979,299126.7110353514,3.1943406764021853,15.7823097,2.397379075662406,0.0016607727473572182,7.478167775883785,1010.5632129572682,0.8534686004899947,0.14653139951000527,0.060112934104999995
-33.61661095,-70.59057649,2209.0,2574.5,2800.5,3067.0,3219.0,3296.5,3345.5,3325.0,3352.5,4114.5,4262.0,0.0403629536921151,0.0519396855434541,0.0605396949550254,0.0856256632111664,0.6262076610020333,-0.0856256632111664,-0.1900216919739696,-0.1061227233012971,0.1061227233012971,0.4489160371094801,0.0657597696091819,0.0969562319484559,-0.0176087864860025,0.0980047396987997,0.1496587382818544,0.987132621624618,0.31940535,1.2374436090225192,1.2818045112781569,0.17497625,0.1513675,0.11816125,0.22746,39.810710390000025,0.1304150657402259,0.97,42.086181267093366,676.786376953125,Medium,Chile,0.0101,404.0,10.474480753712871,22.795742,39443.03640846841,448969.7095726186,2.628156005672522,17.2096676,2.1763123667891255,0.0009443561233215958,11.224242739315464,1111.311162308462,0.9860759102117103,0.01392408978828974,0.1057922556125
-33.61462833,-70.59074444,2081.0,2272.5,2517.0,2739.5,2981.0,3243.5,3362.5,3347.0,3426.5,3805.5,3782.0,0.0998110572578657,0.1192088067345617,0.1497042878265155,0.1415416098226466,0.7192407374198783,-0.1415416098226466,-0.2037959667852906,-0.0641034603285564,0.0641034603285564,-0.2178427966911647,-0.0357075969293093,0.0967912383514266,0.0030971993410214,0.0760820420074807,0.1039849095274248,0.986446125522124,0.2991347499999999,1.136988347774092,1.129967134747501,0.1656399999999999,0.14376375,0.11211125,0.23212125,39.69620672000002,0.1671385787328454,0.97,41.97000678922984,677.8533935546875,Low,Chile,0.006775,271.0,10.295839478597784,20.55426,28455.39338909679,328565.4450959976,2.417921286362763,15.741515,1.9963656234857436,0.0014315508444310496,8.21413612739994,1212.418616590397,0.7113848347274198,0.28861516527258024,0.06975431246749998
-33.61440792,-70.59070042,2081.0,2272.5,2517.0,2739.5,2981.0,3243.5,3362.5,3347.0,3426.5,3805.5,3782.0,0.0998110572578657,0.1192088067345617,0.1497042878265155,0.1415416098226466,0.7192407374198783,-0.1415416098226466,-0.2037959667852906,-0.0641034603285564,0.0641034603285564,-0.2178427966911647,-0.0357075969293093,0.0967912383514266,0.0030971993410214,0.0760820420074807,0.1039849095274248,0.986446125522124,0.2991347499999999,1.136988347774092,1.129967134747501,0.1656399999999999,0.14376375,0.11211125,0.23212125,39.69620672000002,0.1671385787328454,0.97,41.97000678922984,679.3018798828125,Low,Chile,0.00655,262.0,10.07821313664122,20.55426,26872.21314214814,306761.21589978726,2.5857996448792195,15.741515,2.039474629214891,0.0015125779315232674,7.669030397494682,1170.8443354953713,0.6718053285537035,0.32819467144629655,0.066012296045
-33.61440375,-70.59026917,2081.0,2272.5,2517.0,2739.5,2981.0,3243.5,3362.5,3347.0,3426.5,3805.5,3782.0,0.0998110572578657,0.1192088067345617,0.1497042878265155,0.1415416098226466,0.7192407374198783,-0.1415416098226466,-0.2037959667852906,-0.0641034603285564,0.0641034603285564,-0.2178427966911647,-0.0357075969293093,0.0967912383514266,0.0030971993410214,0.0760820420074807,0.1039849095274248,0.986446125522124,0.2991347499999999,1.136988347774092,1.129967134747501,0.1656399999999999,0.14376375,0.11211125,0.23212125,39.69620672000002,0.1671385787328454,0.97,41.97000678922984,680.42822265625,Low,Chile,0.006425,257.0,9.930400255642024,20.55426,27050.45153975353,295027.117365081,2.4757514783811336,15.741515,2.0698319776508463,0.0015648761264321503,7.375677934127024,1147.965437218214,0.6762612884938383,0.32373871150616174,0.06380282164250001
