Latitude,Longitude,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12,NDVI,EVI,SAVI,GNDVI,LAI,NDWI,MNDWI,NDMI,NDBI,ISA,BU,NDISI,NDBaI,BSI,DBSI,LSE,Albedo,SWIR1_NIR,SWIR2_NIR,red,green,blue,nir08,lwir11,NDVI_Landsat,emissivity,LST,elevation,UHI_Class,label
8.447806667,-13.27293167,1235.5,1416.0,1749.0,2059.0,2368.0,2779.0,2945.0,2885.0,3047.5,3272.0,2891.0,0.16707119741100324,0.14125453177371913,0.2505814541409647,0.24514458351316357,0.8412696601053509,-0.24514458351316357,-0.303326030671181,-0.06285528666558389,0.06285528666558389,-0.4532575321366879,-0.10421591074541935,0.154280338664158,0.06182054194385851,0.10693521594684385,0.1362548332601778,0.9860481913795531,0.2316143,1.1341421143847095,1.0020797227036047,0.10688624999999999,0.08934125000000001,0.06547125000000001,0.17411,40.950620060000006,0.2392336196657429,0.9860684123072033,42.002241732347954,71.29762268066406,,Sierra Leone
8.447756667,-13.27293833,1235.5,1416.0,1749.0,2059.0,2368.0,2779.0,2945.0,2885.0,3047.5,3272.0,2891.0,0.16707119741100324,0.14125453177371913,0.2505814541409647,0.24514458351316357,0.8412696601053509,-0.24514458351316357,-0.303326030671181,-0.06285528666558389,0.06285528666558389,-0.4532575321366879,-0.10421591074541935,0.154280338664158,0.06182054194385851,0.10693521594684385,0.1362548332601778,0.9860481913795531,0.2316143,1.1341421143847095,1.0020797227036047,0.10688624999999999,0.08934125000000001,0.06547125000000001,0.17411,40.950620060000006,0.2392336196657429,0.9860684123072033,42.002241732347954,71.29762268066406,,Sierra Leone
8.447133333,-13.27299667,1242.0,1428.0,1752.0,2085.0,2388.0,2801.0,2960.0,2919.0,3078.0,3313.0,2920.0,0.16666666666666666,0.14165364494870575,0.24997502247976822,0.24983943481053308,0.840477089386052,-0.24983943481053308,-0.3081934846989141,-0.06322207958921694,0.06322207958921694,-0.4499767333643555,-0.10344458707744972,0.1552946646518656,0.06305150008021819,0.10785017957927143,0.14152681803224745,0.9860493827160494,0.234205,1.1349777320999954,1.0003425830763617,0.10850875000000001,0.09112874999999998,0.06806999999999999,0.17771250000000002,40.950620060000006,0.2417841093210235,0.9860775960796334,42.001541279854166,70.02052307128906,,Sierra Leone
8.447015,-13.27300167,1242.0,1428.0,1752.0,2085.0,2388.0,2801.0,2960.0,2919.0,3078.0,3313.0,2920.0,0.16666666666666666,0.14165364494870575,0.24997502247976822,0.24983943481053308,0.840477089386052,-0.24983943481053308,-0.3081934846989141,-0.06322207958921694,0.06322207958921694,-0.4499767333643555,-0.10344458707744972,0.1552946646518656,0.06305150008021819,0.10785017957927143,0.14152681803224745,0.9860493827160494,0.234205,1.1349777320999954,1.0003425830763617,0.10850875000000001,0.09112874999999998,0.06806999999999999,0.17771250000000002,40.950620060000006,0.2417841093210235,0.9860775960796334,42.001541279854166,69.1652603149414,,Sierra Leone
8.446915,-13.27300667,1242.0,1428.0,1752.0,2085.0,2388.0,2801.0,2960.0,2919.0,3078.0,3313.0,2920.0,0.16666666666666666,0.14165364494870575,0.24997502247976822,0.24983943481053308,0.840477089386052,-0.24983943481053308,-0.3081934846989141,-0.06322207958921694,0.06322207958921694,-0.4499767333643555,-0.10344458707744972,0.1552946646518656,0.06305150008021819,0.10785017957927143,0.14152681803224745,0.9860493827160494,0.234205,1.1349777320999954,1.0003425830763617,0.10850875000000001,0.09112874999999998,0.06806999999999999,0.17771250000000002,40.950620060000006,0.2417841093210235,0.9860775960796334,42.001541279854166,69.1652603149414,,Sierra Leone
8.446881667,-13.27300833,1242.0,1428.0,1752.0,2085.0,2388.0,2801.0,2960.0,2919.0,3078.0,3313.0,2920.0,0.16666666666666666,0.14165364494870575,0.24997502247976822,0.24983943481053308,0.840477089386052,-0.24983943481053308,-0.3081934846989141,-0.06322207958921694,0.06322207958921694,-0.4499767333643555,-0.10344458707744972,0.1552946646518656,0.06305150008021819,0.10785017957927143,0.14152681803224745,0.9860493827160494,0.234205,1.1349777320999954,1.0003425830763617,0.10850875000000001,0.09112874999999998,0.06806999999999999,0.17771250000000002,40.950620060000006,0.2417841093210235,0.9860775960796334,42.001541279854166,69.1652603149414,,Sierra Leone
8.44686,-13.27301,1242.0,1428.0,1752.0,2085.0,2388.0,2801.0,2960.0,2919.0,3078.0,3313.0,2920.0,0.16666666666666666,0.14165364494870575,0.24997502247976822,0.24983943481053308,0.840477089386052,-0.24983943481053308,-0.3081934846989141,-0.06322207958921694,0.06322207958921694,-0.4499767333643555,-0.10344458707744972,0.1552946646518656,0.06305150008021819,0.10785017957927143,0.14152681803224745,0.9860493827160494,0.234205,1.1349777320999954,1.0003425830763617,0.10850875000000001,0.09112874999999998,0.06806999999999999,0.17771250000000002,40.950620060000006,0.2417841093210235,0.9860775960796334,42.001541279854166,69.1652603149414,,Sierra Leone
8.446841667,-13.27301,1242.0,1428.0,1752.0,2085.0,2388.0,2801.0,2960.0,2919.0,3078.0,3313.0,2920.0,0.16666666666666666,0.14165364494870575,0.24997502247976822,0.24983943481053308,0.840477089386052,-0.24983943481053308,-0.3081934846989141,-0.06322207958921694,0.06322207958921694,-0.4499767333643555,-0.10344458707744972,0.1552946646518656,0.06305150008021819,0.10785017957927143,0.14152681803224745,0.9860493827160494,0.234205,1.1349777320999954,1.0003425830763617,0.10850875000000001,0.09112874999999998,0.06806999999999999,0.17771250000000002,40.950620060000006,0.2417841093210235,0.9860775960796334,42.001541279854166,69.1652603149414,,Sierra Leone
8.446791667,-13.27301833,1261.0,1449.0,1802.0,2130.0,2415.0,2798.0,2956.0,2916.0,3073.0,3325.0,2945.0,0.15576694411414982,0.1325150891863641,0.23362726642227286,0.23611699872827469,0.8194007993265601,-0.23611699872827469,-0.2970548078798518,-0.06553436949206858,0.06553436949206858,-0.40773628114399846,-0.09023257462208124,0.15417992479028064,0.06060606060606061,0.1109979633401222,0.14128786376570196,0.9860869583659111,0.23570770000000002,1.1402606310013326,1.009945130315466,0.11064000000000002,0.09211875,0.06921125,0.18027,41.18646344000001,0.23935237702382178,0.98606882709233,42.239635895522326,69.1652603149414,,Sierra Leone
8.44676,-13.27302,1261.0,1449.0,1802.0,2130.0,2415.0,2798.0,2956.0,2916.0,3073.0,3325.0,2945.0,0.15576694411414982,0.1325150891863641,0.23362726642227286,0.23611699872827469,0.8194007993265601,-0.23611699872827469,-0.2970548078798518,-0.06553436949206858,0.06553436949206858,-0.40773628114399846,-0.09023257462208124,0.15417992479028064,0.06060606060606061,0.1109979633401222,0.14128786376570196,0.9860869583659111,0.23570770000000002,1.1402606310013326,1.009945130315466,0.11064000000000002,0.09211875,0.06921125,0.18027,41.18646344000001,0.23935237702382178,0.98606882709233,42.239635895522326,68.86956024169922,,Sierra Leone
